channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_thumbnail,video_tags,collection_date,day,day_published,publish_date
What's Trending,UCJ7LKwgheOe8OHD5YWnlPUg,1694817485.0,Jason Kelce Breaks Silence On Travis Kelce & Taylor Swift Dating Rumors #Shorts,"Travis Kelce's brother Jason subtly commented on the rumors that Travis is dating Taylor Swift.
--
Follow us Online ---- http://whatstrending.com
Facebook ---- http://www.facebook.com/WhatsTrending 
Instagram ---- http://instagram.com/whatstrending
TikTok ---- http://tiktok.com/whatstrending
Newsletter ---- https://whatstrending.beehiiv.com/subscribe

#TaylorSwift
#TravisKelce
#Shorts",24,8766,2,178,,https://i.ytimg.com/vi/7NGlMRN95W8/hqdefault.jpg,What's Trending|travis kelce|taylor swift|travis kelce taylor swift|taylor swift travis kelce|taylor swift and travis kelce|travis kelce and taylor swift|taylor swift travis kelce dating|travis kelce podcast|taylor swift eras tour|taylor swift eras|travis kelce on taylor swift|taylor swift travis kelce podcast|jason kelce|is taylor swift dating travis kelce|travis kelce taylor swift new heights|are travis kelce and taylor swift dating,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 22:38:05
Radar Online,UCBYl843cTtXfbRn0eP2gk_g,1694811765.0,'Not His Type': Travis Kelce's Friends 'Shocked' About Taylor Swift Romance Rumors,'Not His Type': Travis Kelce's Friends 'Shocked' About Taylor Swift Romance Rumors,24,7401,12,46,,https://i.ytimg.com/vi/4PTzUItspug/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 21:02:45
Titan Anderson Sports,UC8N9RGKjDBPKpwQN0c10t0A,1694828828.0,Travis Kelce Dancing to Taylor Swift! #Shorts #traviskelce #taylorswift #chiefs #kansascitychiefs,Travis Kelce Dancing to Taylor Swift! #Shorts #traviskelce #taylorswift #chiefs #kansascitychiefs #Dancing #KansasCityChiefsTravisKelce #chiefskingdom,17,4288,5,67,,https://i.ytimg.com/vi/V5g3MrVAd68/hqdefault.jpg,shorts|Travis Kelce|Taylor Swift|chiefs|kansas city chiefs|kansas city chiefs travis kelce|dancing|travis kelce dancing to Taylor Swift|chiefs kingdom|travis kelce highlights,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 01:47:08
Quick News,UC6brnSxmc7heaB-xcOnSv8g,1694846701.0,Eagles' Kelce on Travis Kelce's Rumored Relationship with Taylor Swift,"#celebrities #jasonkelce #traviskelce #taylorswift #rumoredrelationship #datingspeculation #conspiracytheory
Philadelphia Eagles center Jason Kelce had no comment when it came to his brother Travis Kelce's rumored relationship with pop sensation Taylor Swift. The internet is buzzing over a wild conspiracy theory about Chiefs star tight end Travis Kelce and Taylor Swift. Despite the speculation, neither Travis Kelce nor Taylor Swift have addressed the dating rumors publicly.",25,3751,2,57,,https://i.ytimg.com/vi/SXVMp1kDgGk/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 06:45:01
TMZ Audio Network,UC9_3h1t3FEvhC-1toDU3fww,1694814057.0,Jason Kelce Addresses Taylor Swift & Travis Kelce Dating Rumors | The TMZ Podcast,"Rumors have been flying that Travis Kelce and Taylor Swift are an item. The NFL superstar's older brother Jason Kelce gave a hint that suggested there might be some truth to the rumors. Jonathan Majors just wanted to satisfy his craving for In-N-Out, but stopped a beatdown instead, swooping in the middle of a high school fight to break things up. Plus, Chrissy Teigen and John Legend are renewing their vows at a celeb-packed destination ceremony.

Chapters:
00:00 - Intro
01:26 - Taylor Swift & Travis Kelce Dating Rumors
09:00 - Jonathan Majors Breaks Up Fight
14:40 - Chrissy Teigen & John Legend Vows Renewal

Hosts: Charlie Cotton & Melanie Miller

FOLLOW ALL TMZ PODCASTS: https://www.audio.tmz.com/

About TMZ Audio Network:
The TMZ Audio Network brings its signature brand of timely reporting to the audio world. The network features a lineup of weekly and daily shows, a mixture of original content and daily show casts, offering fans a new way to stay up-to-date on all the latest celebrity news, breaking stories and pop culture.

Need More TMZ?
TMZ Website:  http://tmz.com
LIKE TMZ on Facebook! http://tmz.me/9sGB00a
FOLLOW TMZ on Twitter! http://tmz.me/9LeeNWQ
FOLLOW TMZ on Instagram! http://tmz.me/ep7d8Bn
TMZ on TV & TMZ Sports on FS1 Tune In Info: http://tmz.me/ccuirUZ
TMZ is on iOS! http://tmz.me/ecOjgiH
TMZ is on Android! http://tmz.me/pkwieRA

Got a Tip?
Contact TMZ: http://tmz.me/UsxYCvE


Check out TMZ, TMZ Sports and toofab!
TMZ: http://tmz.me/fPrTwZt
Subscribe! TMZ: http://tmz.me/wONe5NO
TMZ Sports: http://tmz.me/jMBERbb
Subscribe! TMZ Sports: http://tmz.me/jMBERbb
Toofab: http://tmz.me/dsXztns
Subscribe! toofab: http://tmz.me/VeVLMmi

https://www.youtube.com/c/TMZLive",24,3695,24,73,,https://i.ytimg.com/vi/sCCvPhfDuoY/hqdefault.jpg,TMZ|TMZ Podcast|TMZ Audio Network|TMZ Live|TMZ TV|TMZ Sports|Last Days Podcast|Spilling Royal Tea Podcast|Britney Spears Podcast|Celebrity News|Celebrity Gossip|Hollywood|Los Angeles|Entertainment News|News|taylor swift|travis kelce|jason kelce|rumors|jonathan majors|chrissy teigen|john legend,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 21:40:57
WBNX-TV 55,UC7xB4_h6kAS1qgvINhsD2jA,1694831338.0,TMZ On Demand: Taylor Swift And Travis Kelce Are Rumored To Be Dating 9/15/23,"TMZ, weeknights at 12:30a on WBNX-TV55!",24,1693,3,8,,https://i.ytimg.com/vi/TqskpfB540k/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 02:28:58
USA TODAY Sports,UCZ5C1HBPMEcCA1YGQmqj6Iw,1694802615.0,Rob Riggle addresses the Travis Kelce & Taylor Swift dating rumors 👀 #shorts,"Comedian and Kansas City Chiefs superfan Rob Riggle addresses the rumor that his friend, Travis Kelce, is dating Taylor Swift.

DON'T FORGET TO SUBSCRIBE:

https://www.youtube.com/channel/UCZ5C1HBPMEcCA1YGQmqj6Iw
 
Follow us in social media: 
» Instagram: https://www.instagram.com/usatodayspo...
» Facebook: https://www.facebook.com/usatodaysports/
» Twitter: https://twitter.com/usatodaysports?s=...
» TikTok: https://www.tiktok.com/@sportsseriously?_t=8YjL5Z779IM&_r=1

USA TODAY delivers current local and national news, sports, entertainment,  finance, technology, and more through award-winning journalism, photos, videos and VR.

#nfl #football #taylorswift #erastour #robriggle #comedian #actor #funny #dating #rumors #popculture #kansascitychiefs #traviskelce",17,1742,3,25,,https://i.ytimg.com/vi/G-dNtrojXDU/hqdefault.jpg,,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 18:30:15
American Sports,UCNpQYIXxE23a6O3M2_8jYBw,1694831335.0,Travis Kelce Brother Jason Comments on Taylor Swift Rumors,"Travis Kelce’s Brother Jason Comments on Taylor Swift Rumors

For those of you that haven’t been following along in the pop culture world, a rumor emerged on September 12 stating that Kansas City Chiefs tight end Travis Kelce and singer-songwriter Taylor Swift have begun “quietly hanging out” — according to an exclusive source of The Messenger.

Writers Lanae Brody and Christina Dugan Ramirez added that Swift “saw him when she was in NYC a few weeks ago.”",22,1469,2,14,,https://i.ytimg.com/vi/3cFDwK4Pk6A/hqdefault.jpg,Travis Kelce Brother Jason Comments on Taylor Swift Rumors|Travis Kelce|Travis Kelce and Taylor Swift|Travis Kelce chiefs|Travis Kelce Taylor Swift Rumors|Travis Kelce news|Taylor Swift|nfl|nfl news|nfl news today|nfl 2023,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 02:28:55
Us Weekly,UCVxZlxikHMY8LzspzinH1ww,1694809096.0,Jason Kelce Refuses to Confirm Whether Travis Kelce Is Dating Taylor Swift,"Subscribe for more Us Weekly videos! - https://bit.ly/33yer6O

https://www.usmagazine.com/
Follow Us Weekly on Facebook: https://www.facebook.com/UsWeekly
Follow Us Weekly on Instagram: https://www.instagram.com/usweekly/
Follow Us Weekly on Twitter: https://twitter.com/usweekly",24,1346,3,9,,https://i.ytimg.com/vi/ZQjoe2LUgBc/hqdefault.jpg,Jason Kelce|Travis Kelce|Us Weekly|New Heights|Eras Tour,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-15 20:18:16
OK! Magazine,UCMqutOY_MK1F26YW77GTytQ,1694829223.0,Who Is Taylor Swift's Rumored Boyfriend Travis Kelce? Get To Know Him in 8 Photos,Who Is Taylor Swift's Rumored Boyfriend Travis Kelce? Get To Know Him in 8 Photos,24,1197,0,4,,https://i.ytimg.com/vi/P-e9k77P1QY/hqdefault.jpg,Who Is Taylor Swift's Rumored Boyfriend Travis Kelce? Get To Know Him in 8 Photos,2023-11-28 17:17:59.780450,4,2023-09-15,2023-09-16 01:53:43
